"Topic","Talk","Speaker","Date","URL"
"Aaronic Priesthood","What Every Aaronic Priesthood Holder Needs to Understand","Douglas D. Holmes","April 2018","https://www.lds.org/general-conference/2018/04/what-every-aaronic-priesthood-holder-needs-to-understand?lang=eng"
"Aaronic Priesthood","The Priesthood and the Savior’s Atoning Power","Dale G. Renlund","October 2017","https://www.lds.org/general-conference/2017/10/the-priesthood-and-the-saviors-atoning-power?lang=eng"
"Aaronic Priesthood","The Priesthood—a Sacred Gift","Thomas S. Monson","April 2015","https://www.lds.org/general-conference/2015/04/the-priesthood-a-sacred-gift?lang=eng"
"Aaronic Priesthood","The Preparatory Priesthood","Henry B. Eyring","October 2014","https://www.lds.org/general-conference/2014/10/the-preparatory-priesthood?lang=eng"
"Aaronic Priesthood","Aaronic Priesthood: Arise and Use the Power of God","Adrián Ochoa","April 2012","https://www.lds.org/general-conference/2012/04/aaronic-priesthood-arise-and-use-the-power-of-god?lang=eng"
"Aaronic Priesthood","Sacred Keys of the Aaronic Priesthood","Larry M. Gibson","April 2011","https://www.lds.org/general-conference/2011/04/sacred-keys-of-the-aaronic-priesthood?lang=eng"
"Aaronic Priesthood","Preparing the World for the Second Coming","Neil L. Andersen","April 2011","https://www.lds.org/general-conference/2011/04/preparing-the-world-for-the-second-coming?lang=eng"
"Aaronic Priesthood","The Priesthood of Aaron","L. Tom Perry","October 2010","https://www.lds.org/general-conference/2010/10/the-priesthood-of-aaron?lang=eng"
"abortion","Protect the Children","Dallin H. Oaks","October 2012","https://www.lds.org/general-conference/2012/10/protect-the-children?lang=eng"
"abortion","What Are People Asking about Us?","Gordon B. Hinckley","October 1998","https://www.lds.org/general-conference/1998/10/what-are-people-asking-about-us?lang=eng"
"abortion","A Strategy for War","Durrel A. Woolsey","October 1995","https://www.lds.org/general-conference/1995/10/a-strategy-for-war?lang=eng"
"abortion","The Father and the Family","Boyd K. Packer","April 1994","https://www.lds.org/general-conference/1994/04/the-father-and-the-family?lang=eng"
"abortion","Covenants","Boyd K. Packer","October 1990","https://www.lds.org/general-conference/1990/10/covenants?lang=eng"
"abortion","Reverence for Life","Russell M. Nelson","April 1985","https://www.lds.org/general-conference/1985/04/reverence-for-life?lang=eng"
"abortion","The Time to Labor Is Now","Spencer W. Kimball","October 1975","https://www.lds.org/general-conference/1975/10/the-time-to-labor-is-now?lang=eng"
"abortion","The Sanctity of Life","James E. Faust","April 1975","https://www.lds.org/general-conference/1975/04/the-sanctity-of-life?lang=eng"
"abortion","“Why Call Me Lord, Lord, and Do Not the Things Which I Say?”","Spencer W. Kimball","April 1975","https://www.lds.org/general-conference/1975/04/why-call-me-lord-lord-and-do-not-the-things-which-i-say?lang=eng"
"abortion","Guidelines to Carry Forth the Work of God in Cleanliness","Spencer W. Kimball","April 1974","https://www.lds.org/general-conference/1974/04/guidelines-to-carry-forth-the-work-of-god-in-cleanliness?lang=eng"
"abuse","To Heal the Shattering Consequences of Abuse","Richard G. Scott","April 2008","https://www.lds.org/general-conference/2008/04/to-heal-the-shattering-consequences-of-abuse?lang=eng"
"abuse","The Tongue of Angels","Jeffrey R. Holland","April 2007","https://www.lds.org/general-conference/2007/04/the-tongue-of-angels?lang=eng"
"abuse","Priesthood Authority in the Family and the Church","Dallin H. Oaks","October 2005","https://www.lds.org/general-conference/2005/10/priesthood-authority-in-the-family-and-the-church?lang=eng"
"abuse","To Men of the Priesthood","Gordon B. Hinckley","October 2002","https://www.lds.org/general-conference/2002/10/to-men-of-the-priesthood?lang=eng"
"abuse","Personal Worthiness to Exercise the Priesthood","Gordon B. Hinckley","April 2002","https://www.lds.org/general-conference/2002/04/personal-worthiness-to-exercise-the-priesthood?lang=eng"
"abuse","What Are People Asking about Us?","Gordon B. Hinckley","October 1998","https://www.lds.org/general-conference/1998/10/what-are-people-asking-about-us?lang=eng"
"abuse","Agency and Anger","Lynn G. Robbins","April 1998","https://www.lds.org/general-conference/1998/04/agency-and-anger?lang=eng"
"abuse","Look to the Future","Gordon B. Hinckley","October 1997","https://www.lds.org/general-conference/1997/10/look-to-the-future?lang=eng"
"abuse","Women of the Church","Gordon B. Hinckley","October 1996","https://www.lds.org/general-conference/1996/10/women-of-the-church?lang=eng"
"abuse","“This Thing Was Not Done in a Corner”","Gordon B. Hinckley","October 1996","https://www.lds.org/general-conference/1996/10/this-thing-was-not-done-in-a-corner?lang=eng"
"abuse","Being a Righteous Husband and Father","Howard W. Hunter","October 1994","https://www.lds.org/general-conference/1994/10/being-a-righteous-husband-and-father?lang=eng"
"abuse","Save the Children","Gordon B. Hinckley","October 1994","https://www.lds.org/general-conference/1994/10/save-the-children?lang=eng"
"abuse","The Father and the Family","Boyd K. Packer","April 1994","https://www.lds.org/general-conference/1994/04/the-father-and-the-family?lang=eng"
"abuse","Healing the Tragic Scars of Abuse","Richard G. Scott","April 1992","https://www.lds.org/general-conference/1992/04/healing-the-tragic-scars-of-abuse?lang=eng"
"abuse","Our Moral Environment","Boyd K. Packer","April 1992","https://www.lds.org/general-conference/1992/04/our-moral-environment?lang=eng"
"abuse","Our Solemn Responsibilities","Gordon B. Hinckley","October 1991","https://www.lds.org/general-conference/1991/10/our-solemn-responsibilities?lang=eng"
"abuse","Precious Children—A Gift from God","Thomas S. Monson","October 1991","https://www.lds.org/general-conference/1991/10/precious-children-a-gift-from-god?lang=eng"
"abuse","“A Little Child Shall Lead Them”","Thomas S. Monson","April 1990","https://www.lds.org/general-conference/1990/04/a-little-child-shall-lead-them?lang=eng"
"abuse","Little Children","Boyd K. Packer","October 1986","https://www.lds.org/general-conference/1986/10/little-children?lang=eng"
"abuse","Questions and Answers","Gordon B. Hinckley","October 1985","https://www.lds.org/general-conference/1985/10/questions-and-answers?lang=eng"
"abuse","The True Way of Life and Salvation","Spencer W. Kimball","April 1978","https://www.lds.org/general-conference/1978/04/the-true-way-of-life-and-salvation?lang=eng"
"accountability","The Voice of Warning","D. Todd Christofferson","April 2017","https://www.lds.org/general-conference/2017/04/the-voice-of-warning?lang=eng"
"accountability","Free Forever, to Act for Themselves","D. Todd Christofferson","October 2014","https://www.lds.org/general-conference/2014/10/free-forever-to-act-for-themselves?lang=eng"
"accountability","Choose Eternal Life","Randall K. Bennett","October 2011","https://www.lds.org/general-conference/2011/10/choose-eternal-life?lang=eng"
"accountability","The Three Rs of Choice","Thomas S. Monson","October 2010","https://www.lds.org/general-conference/2010/10/the-three-rs-of-choice?lang=eng"
"accountability","Stewardship—a Sacred Trust","Quentin L. Cook","October 2009","https://www.lds.org/general-conference/2009/10/stewardship-a-sacred-trust?lang=eng"
"accountability","Walk in the Light","Henry B. Eyring","April 2008","https://www.lds.org/general-conference/2008/04/walk-in-the-light?lang=eng"
"accountability","To Be Free of Heavy Burdens","Richard G. Scott","October 2002","https://www.lds.org/general-conference/2002/10/to-be-free-of-heavy-burdens?lang=eng"
"accountability","I Believe I Can, I Knew I Could","James E. Faust","October 2002","https://www.lds.org/general-conference/2002/10/i-believe-i-can-i-knew-i-could?lang=eng"
"accountability","Focus and Priorities","Dallin H. Oaks","April 2001","https://www.lds.org/general-conference/2001/04/focus-and-priorities?lang=eng"
"accountability","Born Again","James E. Faust","April 2001","https://www.lds.org/general-conference/2001/04/born-again?lang=eng"
"accountability","The Sanctity of Womanhood","Richard G. Scott","April 2000","https://www.lds.org/general-conference/2000/04/the-sanctity-of-womanhood?lang=eng"
"accountability","Hope, an Anchor of the Soul","James E. Faust","October 1999","https://www.lds.org/general-conference/1999/10/hope-an-anchor-of-the-soul?lang=eng"
"accountability","Youth of the Noble Birthright","L. Tom Perry","October 1998","https://www.lds.org/general-conference/1998/10/youth-of-the-noble-birthright?lang=eng"
"accountability","Agency and Anger","Lynn G. Robbins","April 1998","https://www.lds.org/general-conference/1998/04/agency-and-anger?lang=eng"
"accountability","“True to the Truth”","Joseph B. Wirthlin","April 1997","https://www.lds.org/general-conference/1997/04/true-to-the-truth?lang=eng"
"accountability","“Take Especial Care of Your Family”","Neal A. Maxwell","April 1994","https://www.lds.org/general-conference/1994/04/take-especial-care-of-your-family?lang=eng"
"accountability","“A Chosen Generation”","Gordon B. Hinckley","April 1992","https://www.lds.org/general-conference/1992/04/a-chosen-generation?lang=eng"
"accountability","Christlike Communications","L. Lionel Kendrick","October 1988","https://www.lds.org/general-conference/1988/10/christlike-communications?lang=eng"
"accountability","Atonement, Agency, Accountability","Boyd K. Packer","April 1988","https://www.lds.org/general-conference/1988/04/atonement-agency-accountability?lang=eng"
"accountability","Reverence and Morality","Gordon B. Hinckley","April 1987","https://www.lds.org/general-conference/1987/04/reverence-and-morality?lang=eng"
"accountability","Self-Accountability and Human Progress","Dean L. Larsen","April 1980","https://www.lds.org/general-conference/1980/04/self-accountability-and-human-progress?lang=eng"
"accountability","Successful Welfare Stewardship","J. Richard Clarke","October 1978","https://www.lds.org/general-conference/1978/10/successful-welfare-stewardship?lang=eng"
"accountability","We Are His Stewards","N. Eldon Tanner","April 1978","https://www.lds.org/general-conference/1978/04/we-are-his-stewards?lang=eng"
"activation","Ministering with the Power and Authority of God","Russell M. Nelson","April 2018","https://www.lds.org/general-conference/2018/04/ministering-with-the-power-and-authority-of-god?lang=eng"
"activation","“My Peace I Leave with You”","Henry B. Eyring","April 2017","https://www.lds.org/general-conference/2017/04/my-peace-i-leave-with-you?lang=eng"
"activation","Learn from Alma and Amulek","Dieter F. Uchtdorf","October 2016","https://www.lds.org/general-conference/2016/10/learn-from-alma-and-amulek?lang=eng"
"activation","To the Rescue: We Can Do It","Mervyn B. Arnold","April 2016","https://www.lds.org/general-conference/2016/04/to-the-rescue-we-can-do-it?lang=eng"
"activation","You Are Not Alone in the Work","Henry B. Eyring","October 2015","https://www.lds.org/general-conference/2015/10/you-are-not-alone-in-the-work?lang=eng"
"activation","Returning to Faith","Rosemary M. Wixom","April 2015","https://www.lds.org/general-conference/2015/04/returning-to-faith?lang=eng"
"activation","Waiting for the Prodigal","Brent H. Nielson","April 2015","https://www.lds.org/general-conference/2015/04/waiting-for-the-prodigal?lang=eng"
"activation","Rescue in Unity","Chi Hong (Sam) Wong","October 2014","https://www.lds.org/general-conference/2014/10/rescue-in-unity?lang=eng"
"activation","Come, Join with Us","Dieter F. Uchtdorf","October 2013","https://www.lds.org/general-conference/2013/10/come-join-with-us?lang=eng"
"activation","Small and Simple Things","Arnulfo Valenzuela","October 2013","https://www.lds.org/general-conference/2013/10/small-and-simple-things?lang=eng"
"activation","We Have Great Reason to Rejoice","Carole M. Stephens","October 2013","https://www.lds.org/general-conference/2013/10/we-have-great-reason-to-rejoice?lang=eng"
"activation","The Power of the Priesthood in the Boy","Tad R. Callister","April 2013","https://www.lds.org/general-conference/2013/04/the-power-of-the-priesthood-in-the-boy?lang=eng"
"activation","See Others as They May Become","Thomas S. Monson","October 2012","https://www.lds.org/general-conference/2012/10/see-others-as-they-may-become?lang=eng"
"activation","The Rescue for Real Growth","Richard C. Edgley","April 2012","https://www.lds.org/general-conference/2012/04/the-rescue-for-real-growth?lang=eng"
"activation","Was It Worth It?","David F. Evans","April 2012","https://www.lds.org/general-conference/2012/04/was-it-worth-it?lang=eng"
